dataset,n,m,metodo,tiempo,costo,memoria,vecindad,iteraciones
sol_optimas,195,18915.0,TABU_CICLOS 160 45 300,2472.49,2451,160,45,300
sol_optimas,195,18915.0,TABU_CICLOS 160 50 300,2934.1,2435,160,50,300
sol_optimas,195,18915.0,TABU_CICLOS 160 55 300,3089.1,2435,160,55,300
sol_optimas,195,18915.0,TABU_CICLOS 160 60 300,3383.86,2460,160,60,300
sol_optimas,195,18915.0,TABU_CICLOS 160 65 300,3538.28,2460,160,65,300
sol_optimas,195,18915.0,TABU_CICLOS 160 70 300,3590.41,2460,160,70,300
sol_optimas,195,18915.0,TABU_CICLOS 160 75 300,4024.55,2460,160,75,300
sol_optimas,195,18915.0,TABU_CICLOS 160 80 300,4410.54,2427,160,80,300
sol_optimas,195,18915.0,TABU_CICLOS 160 85 300,4588.45,2427,160,85,300
sol_optimas,195,18915.0,TABU_CICLOS 160 90 300,4834.1,2427,160,90,300
sol_optimas,195,18915.0,TABU_CICLOS 160 95 300,5224.51,2448,160,95,300
sol_optimas,195,18915.0,TABU_CICLOS 160 100 300,5469.01,2448,160,100,300
sol_optimas,195,18915.0,TABU_ESTRUCTURA 160 5 300,188.356,2480,160,5,300
sol_optimas,195,18915.0,TABU_ESTRUCTURA 160 10 300,217.336,2479,160,10,300
sol_optimas,195,18915.0,TABU_ESTRUCTURA 160 15 300,248.402,2490,160,15,300
sol_optimas,195,18915.0,TABU_ESTRUCTURA 160 20 300,281.151,2507,160,20,300
