dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,243,29403.0,TABU_ESTRUCTURA 160 25 300,546.504,95058,TSP_GA
grafo-euleriano,246,30135.0,TABU_CICLOS 160 25 300,2158.87,99898,TSP_GA
grafo-euleriano,246,30135.0,TABU_ESTRUCTURA 160 25 300,559.951,99941,TSP_GA
grafo-euleriano,249,30876.0,TABU_CICLOS 160 25 300,1858.68,101615,TSP_GA
grafo-euleriano,249,30876.0,TABU_ESTRUCTURA 160 25 300,583.353,101612,TSP_GA
grafo-euleriano,252,31626.0,TABU_CICLOS 160 25 300,2489.43,84797,TSP_GA
grafo-euleriano,252,31626.0,TABU_ESTRUCTURA 160 25 300,584.207,84870,TSP_GA
grafo-euleriano,255,32385.0,TABU_CICLOS 160 25 300,1872.47,105722,TSP_GA
grafo-euleriano,255,32385.0,TABU_ESTRUCTURA 160 25 300,620.43,105774,TSP_GA
grafo-euleriano,258,33153.0,TABU_CICLOS 160 25 300,1982.63,111833,TSP_GA
grafo-euleriano,258,33153.0,TABU_ESTRUCTURA 160 25 300,613.434,111896,TSP_GA
grafo-euleriano,261,33930.0,TABU_CICLOS 160 25 300,2408.02,60876,TSP_GA
grafo-euleriano,261,33930.0,TABU_ESTRUCTURA 160 25 300,650.601,60903,TSP_GA
grafo-euleriano,264,34716.0,TABU_CICLOS 160 25 300,2908.79,109880,TSP_GA
grafo-euleriano,264,34716.0,TABU_ESTRUCTURA 160 25 300,643.333,109915,TSP_GA
grafo-euleriano,267,35511.0,TABU_CICLOS 160 25 300,2872.7,98370,TSP_GA
grafo-euleriano,267,35511.0,TABU_ESTRUCTURA 160 25 300,663.21,98455,TSP_GA
grafo-euleriano,270,36315.0,TABU_CICLOS 160 25 300,2560.45,107822,TSP_GA
grafo-euleriano,270,36315.0,TABU_ESTRUCTURA 160 25 300,669.665,107891,TSP_GA
grafo-euleriano,273,37128.0,TABU_CICLOS 160 25 300,3019.42,120150,TSP_GA
grafo-euleriano,273,37128.0,TABU_ESTRUCTURA 160 25 300,701.087,120190,TSP_GA
grafo-euleriano,276,37950.0,TABU_CICLOS 160 25 300,2522.66,56218,TSP_GA
grafo-euleriano,276,37950.0,TABU_ESTRUCTURA 160 25 300,697.012,56251,TSP_GA
grafo-euleriano,279,38781.0,TABU_CICLOS 160 25 300,2969.04,87246,TSP_GA
grafo-euleriano,279,38781.0,TABU_ESTRUCTURA 160 25 300,716.455,87261,TSP_GA
grafo-euleriano,282,39621.0,TABU_CICLOS 160 25 300,2844.17,128004,TSP_GA
grafo-euleriano,282,39621.0,TABU_ESTRUCTURA 160 25 300,739.12,128146,TSP_GA
grafo-euleriano,285,40470.0,TABU_CICLOS 160 25 300,3299.74,87116,TSP_GA
grafo-euleriano,285,40470.0,TABU_ESTRUCTURA 160 25 300,747.043,87123,TSP_GA
grafo-euleriano,288,41328.0,TABU_CICLOS 160 25 300,3604.12,105928,TSP_GA
grafo-euleriano,288,41328.0,TABU_ESTRUCTURA 160 25 300,764.605,105941,TSP_GA
grafo-euleriano,291,42195.0,TABU_CICLOS 160 25 300,3359.86,75313,TSP_GA
grafo-euleriano,291,42195.0,TABU_ESTRUCTURA 160 25 300,786.156,75327,TSP_GA
grafo-euleriano,294,43071.0,TABU_CICLOS 160 25 300,3683.26,114544,TSP_GA
grafo-euleriano,294,43071.0,TABU_ESTRUCTURA 160 25 300,800.004,114559,TSP_GA
grafo-euleriano,297,43956.0,TABU_CICLOS 160 25 300,3244.34,72153,TSP_GA
grafo-euleriano,297,43956.0,TABU_ESTRUCTURA 160 25 300,807.08,72174,TSP_GA
grafo-euleriano,300,44850.0,TABU_CICLOS 160 25 300,4107.4,128921,TSP_GA
grafo-euleriano,300,44850.0,TABU_ESTRUCTURA 160 25 300,857.552,128932,TSP_GA
grafo-euleriano,303,45753.0,TABU_CICLOS 160 25 300,4000.3,93152,TSP_GA
grafo-euleriano,303,45753.0,TABU_ESTRUCTURA 160 25 300,841.674,93169,TSP_GA
grafo-euleriano,306,46665.0,TABU_CICLOS 160 25 300,3252.04,87944,TSP_GA
grafo-euleriano,306,46665.0,TABU_ESTRUCTURA 160 25 300,862.324,87993,TSP_GA
