dataset,n,m,metodo,tiempo,costo,gap,tp
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 25 300,371.537,16758,6.197718631178702,TSP_GA
sol_optimas,439,96141.0,TABU_CICLOS 160 25 300,10045.1,116031,8.220711267802685,TSP_GA
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 25 300,1930.08,116073,8.259884160161164,TSP_GA
sol_optimas,70,2415.0,TABU_CICLOS 160 25 300,143.502,701,3.851851851851862,TSP_GA
sol_optimas,70,2415.0,TABU_ESTRUCTURA 160 25 300,51.2066,699,3.555555555555557,TSP_GA
sol_optimas,442,97461.0,TABU_CICLOS 160 25 300,7022.87,53373,5.110480916932531,TSP_GA
sol_optimas,442,97461.0,TABU_ESTRUCTURA 160 25 300,1889.76,53675,5.7052266729685925,TSP_GA
sol_optimas,96,4560.0,TABU_CICLOS 160 25 300,275.832,57182,3.5736926950316104,TSP_GA
sol_optimas,96,4560.0,TABU_ESTRUCTURA 160 25 300,92.7355,57017,3.2748283794309003,TSP_GA
sol_optimas,783,306153.0,TABU_CICLOS 160 25 300,50401.1,9123,3.5998183057006656,TSP_GA
sol_optimas,783,306153.0,TABU_ESTRUCTURA 160 25 300,8646.38,9140,3.792868498750849,TSP_GA
sol_optimas,120,7140.0,TABU_CICLOS 160 25 300,416.386,7109,2.405646787669255,TSP_GA
sol_optimas,120,7140.0,TABU_ESTRUCTURA 160 25 300,141.119,7104,2.3336214347450266,TSP_GA
sol_optimas,226,25425.0,TABU_CICLOS 160 25 300,2351.23,85373,6.226281277607043,TSP_GA
sol_optimas,226,25425.0,TABU_ESTRUCTURA 160 25 300,477.105,85398,6.25738779877814,TSP_GA
sol_optimas,400,79800.0,TABU_CICLOS 160 25 300,7434.82,15779,3.2589490216608823,TSP_GA
sol_optimas,400,79800.0,TABU_ESTRUCTURA 160 25 300,1639.37,15818,3.5141679209475853,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,322.681,21976,3.2027801258570463,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,116.424,21756,2.1696252465483354,TSP_GA
sol_optimas,535,142845.0,TABU_CICLOS 160 25 300,17400.9,219575,8.533933073006764,TSP_GA
sol_optimas,535,142845.0,TABU_ESTRUCTURA 160 25 300,3103.44,219575,8.533933073006764,TSP_GA
sol_optimas,318,50403.0,TABU_CICLOS 160 25 300,4606.54,43819,4.258964048633089,TSP_GA
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 25 300,964.066,44260,5.308239548882909,TSP_GA
sol_optimas,575,165025.0,TABU_CICLOS 160 25 300,22879.1,7062,4.266942270781044,TSP_GA
sol_optimas,575,165025.0,TABU_ESTRUCTURA 160 25 300,3645.02,7071,4.399822825926478,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,352.177,22291,1.010512959941991,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,99.685,22389,1.4545948885263726,TSP_GA
sol_optimas,48,1128.0,TABU_CICLOS 160 25 300,60.8225,10948,3.0109145652992026,TSP_GA
sol_optimas,48,1128.0,TABU_ESTRUCTURA 160 25 300,24.1808,10933,2.8697779450508136,TSP_GA
sol_optimas,22,231.0,TABU_CICLOS 160 25 300,13.7219,7013,0.0,TSP_GA
sol_optimas,22,231.0,TABU_ESTRUCTURA 160 25 300,5.44805,7100,1.240553258234712,TSP_GA
sol_optimas,493,121278.0,TABU_CICLOS 160 25 300,17040.4,36628,4.6454488314953295,TSP_GA
sol_optimas,493,121278.0,TABU_ESTRUCTURA 160 25 300,2535.01,36633,4.65973372950117,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,329.871,8009,1.2515802781289551,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,98.8486,8001,1.1504424778760978,TSP_GA
