dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,228,25878.0,TABU_ESTRUCTURA 160 25 300,503.239,52768,TSP_INS
grafo-euleriano,231,26565.0,TABU_CICLOS 160 25 300,1600.05,117487,TSP_INS
grafo-euleriano,231,26565.0,TABU_ESTRUCTURA 160 25 300,512.168,117565,TSP_INS
grafo-euleriano,234,27261.0,TABU_CICLOS 160 25 300,1705.2,70572,TSP_INS
grafo-euleriano,234,27261.0,TABU_ESTRUCTURA 160 25 300,523.041,70656,TSP_INS
grafo-euleriano,237,27966.0,TABU_CICLOS 160 25 300,1804.93,69056,TSP_INS
grafo-euleriano,237,27966.0,TABU_ESTRUCTURA 160 25 300,542.935,69179,TSP_INS
grafo-euleriano,240,28680.0,TABU_CICLOS 160 25 300,1903.28,119654,TSP_INS
grafo-euleriano,240,28680.0,TABU_ESTRUCTURA 160 25 300,549.101,119982,TSP_INS
grafo-euleriano,243,29403.0,TABU_CICLOS 160 25 300,1734.32,95570,TSP_INS
grafo-euleriano,243,29403.0,TABU_ESTRUCTURA 160 25 300,568.863,95957,TSP_INS
grafo-euleriano,246,30135.0,TABU_CICLOS 160 25 300,1811.87,100717,TSP_INS
grafo-euleriano,246,30135.0,TABU_ESTRUCTURA 160 25 300,574.652,100849,TSP_INS
grafo-euleriano,249,30876.0,TABU_CICLOS 160 25 300,1861.4,102258,TSP_INS
grafo-euleriano,249,30876.0,TABU_ESTRUCTURA 160 25 300,589.154,102357,TSP_INS
grafo-euleriano,252,31626.0,TABU_CICLOS 160 25 300,1893.63,85246,TSP_INS
grafo-euleriano,252,31626.0,TABU_ESTRUCTURA 160 25 300,618.83,85371,TSP_INS
grafo-euleriano,255,32385.0,TABU_CICLOS 160 25 300,2213.77,106343,TSP_INS
grafo-euleriano,255,32385.0,TABU_ESTRUCTURA 160 25 300,633.296,106321,TSP_INS
grafo-euleriano,258,33153.0,TABU_CICLOS 160 25 300,1980.93,112377,TSP_INS
grafo-euleriano,258,33153.0,TABU_ESTRUCTURA 160 25 300,675.626,112580,TSP_INS
grafo-euleriano,261,33930.0,TABU_CICLOS 160 25 300,2486.74,61265,TSP_INS
grafo-euleriano,261,33930.0,TABU_ESTRUCTURA 160 25 300,689.44,61334,TSP_INS
grafo-euleriano,264,34716.0,TABU_CICLOS 160 25 300,2345.4,110352,TSP_INS
grafo-euleriano,264,34716.0,TABU_ESTRUCTURA 160 25 300,720.115,110557,TSP_INS
grafo-euleriano,267,35511.0,TABU_CICLOS 160 25 300,2661.21,99151,TSP_INS
grafo-euleriano,267,35511.0,TABU_ESTRUCTURA 160 25 300,714.71,99165,TSP_INS
grafo-euleriano,270,36315.0,TABU_CICLOS 160 25 300,2640.03,108463,TSP_INS
grafo-euleriano,270,36315.0,TABU_ESTRUCTURA 160 25 300,730.061,108698,TSP_INS
grafo-euleriano,273,37128.0,TABU_CICLOS 160 25 300,2685.61,120901,TSP_INS
grafo-euleriano,273,37128.0,TABU_ESTRUCTURA 160 25 300,751.006,121032,TSP_INS
grafo-euleriano,276,37950.0,TABU_CICLOS 160 25 300,2506.13,56614,TSP_INS
grafo-euleriano,276,37950.0,TABU_ESTRUCTURA 160 25 300,764.388,56626,TSP_INS
grafo-euleriano,279,38781.0,TABU_CICLOS 160 25 300,2704.77,87667,TSP_INS
grafo-euleriano,279,38781.0,TABU_ESTRUCTURA 160 25 300,780.559,87894,TSP_INS
