dataset,n,m,metodo,tiempo,costo,gap
sol_optimas,1655,1368685.0,GA,23651.266666666666,73392,18.130311614730886
sol_optimas,229,26106.0,INS,13.070966666666669,153896,14.334110934458622
sol_optimas,229,26106.0,AGM,2.2042966666666666,180152,33.840507570467025
sol_optimas,229,26106.0,GA,56.86266666666666,163730,21.640094500824645
sol_optimas,137,9316.0,INS,2.511843333333333,79730,14.139693356047701
sol_optimas,137,9316.0,AGM,0.9126439999999999,94082,34.68569710678139
sol_optimas,137,9316.0,GA,24.407333333333337,79460,13.75316736575381
sol_optimas,100,4950.0,INS,1.4559166666666667,24306,17.142994843124953
sol_optimas,100,4950.0,AGM,0.5528206666666667,27968,34.792038170514246
sol_optimas,100,4950.0,GA,12.723233333333333,23434,12.940382669044297
sol_optimas,130,8385.0,INS,2.819383333333333,7158,17.152209492635023
sol_optimas,130,8385.0,AGM,0.9141386666666667,8129,33.0441898527005
sol_optimas,130,8385.0,GA,23.7863,7533,23.28968903436987
sol_optimas,136,9180.0,INS,2.3745666666666665,110697,14.389492828504103
sol_optimas,136,9180.0,AGM,0.9021713333333334,143584,48.373496465919885
sol_optimas,136,9180.0,GA,23.27006666666667,116887,20.785971148679366
sol_optimas,280,39060.0,INS,21.693399999999997,2934,13.765025203567276
sol_optimas,280,39060.0,AGM,2.595243333333333,3732,44.70725087243116
sol_optimas,280,39060.0,GA,82.47036666666666,2902,12.524234199302072
sol_optimas,51,1275.0,INS,0.22257666666666664,470,10.328638497652577
sol_optimas,51,1275.0,AGM,0.11627766666666667,548,28.638497652582146
sol_optimas,51,1275.0,GA,2.3347466666666663,490,15.023474178403745
sol_optimas,105,5460.0,INS,1.5766266666666668,17155,19.30593226232699
sol_optimas,105,5460.0,AGM,0.5168433333333334,20127,39.97496348842063
sol_optimas,105,5460.0,GA,13.845466666666667,16766,16.60059809444327
sol_optimas,195,18915.0,INS,7.99784,2793,20.232458028411543
sol_optimas,195,18915.0,AGM,1.2456266666666667,3389,45.88893671975893
sol_optimas,195,18915.0,GA,43.83303333333333,2617,12.656048213516996
sol_optimas,262,34191.0,INS,27.168433333333336,2799,17.703952901597987
sol_optimas,262,34191.0,AGM,2.3527400000000003,3330,40.0336417157275
sol_optimas,262,34191.0,GA,101.5202,2749,15.601345668629094
sol_optimas,657,215496.0,INS,311.17266666666666,58075,18.73364409551847
sol_optimas,657,215496.0,AGM,14.703999999999999,66541,36.04228001308471
