dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,219,23871.0,TABU_CICLOS 160 25 300,2148.0,89460,TSP_AGM
grafo-euleriano,219,23871.0,TABU_ESTRUCTURA 160 25 300,594.664,89588,TSP_AGM
grafo-euleriano,222,24531.0,TABU_CICLOS 160 25 300,2279.14,65342,TSP_AGM
grafo-euleriano,222,24531.0,TABU_ESTRUCTURA 160 25 300,587.125,65473,TSP_AGM
grafo-euleriano,225,25200.0,TABU_CICLOS 160 25 300,2143.86,76407,TSP_AGM
grafo-euleriano,225,25200.0,TABU_ESTRUCTURA 160 25 300,605.922,76529,TSP_AGM
grafo-euleriano,228,25878.0,TABU_CICLOS 160 25 300,2201.79,52418,TSP_AGM
grafo-euleriano,228,25878.0,TABU_ESTRUCTURA 160 25 300,613.546,52530,TSP_AGM
grafo-euleriano,231,26565.0,TABU_CICLOS 160 25 300,2231.13,117082,TSP_AGM
grafo-euleriano,231,26565.0,TABU_ESTRUCTURA 160 25 300,618.384,117332,TSP_AGM
grafo-euleriano,234,27261.0,TABU_CICLOS 160 25 300,2421.29,70291,TSP_AGM
grafo-euleriano,234,27261.0,TABU_ESTRUCTURA 160 25 300,499.161,70281,TSP_AGM
grafo-euleriano,237,27966.0,TABU_CICLOS 160 25 300,2088.07,68933,TSP_AGM
grafo-euleriano,237,27966.0,TABU_ESTRUCTURA 160 25 300,666.468,68998,TSP_AGM
grafo-euleriano,240,28680.0,TABU_CICLOS 160 25 300,2514.41,119411,TSP_AGM
grafo-euleriano,240,28680.0,TABU_ESTRUCTURA 160 25 300,666.822,119511,TSP_AGM
grafo-euleriano,243,29403.0,TABU_CICLOS 160 25 300,2603.87,95328,TSP_AGM
grafo-euleriano,243,29403.0,TABU_ESTRUCTURA 160 25 300,687.302,95452,TSP_AGM
grafo-euleriano,246,30135.0,TABU_CICLOS 160 25 300,2541.68,100228,TSP_AGM
grafo-euleriano,246,30135.0,TABU_ESTRUCTURA 160 25 300,752.173,100303,TSP_AGM
grafo-euleriano,249,30876.0,TABU_CICLOS 160 25 300,3106.88,101851,TSP_AGM
grafo-euleriano,249,30876.0,TABU_ESTRUCTURA 160 25 300,756.643,101976,TSP_AGM
grafo-euleriano,252,31626.0,TABU_CICLOS 160 25 300,3098.85,85019,TSP_AGM
grafo-euleriano,252,31626.0,TABU_ESTRUCTURA 160 25 300,815.62,85182,TSP_AGM
grafo-euleriano,255,32385.0,TABU_CICLOS 160 25 300,3029.45,105971,TSP_AGM
grafo-euleriano,255,32385.0,TABU_ESTRUCTURA 160 25 300,753.11,106127,TSP_AGM
grafo-euleriano,258,33153.0,TABU_CICLOS 160 25 300,2748.47,112124,TSP_AGM
grafo-euleriano,258,33153.0,TABU_ESTRUCTURA 160 25 300,765.325,112406,TSP_AGM
grafo-euleriano,261,33930.0,TABU_CICLOS 160 25 300,3302.91,61017,TSP_AGM
grafo-euleriano,261,33930.0,TABU_ESTRUCTURA 160 25 300,784.251,61112,TSP_AGM
grafo-euleriano,264,34716.0,TABU_CICLOS 160 25 300,3403.45,110069,TSP_AGM
grafo-euleriano,264,34716.0,TABU_ESTRUCTURA 160 25 300,840.005,110350,TSP_AGM
grafo-euleriano,267,35511.0,TABU_CICLOS 160 25 300,3387.42,98716,TSP_AGM
grafo-euleriano,267,35511.0,TABU_ESTRUCTURA 160 25 300,811.799,98844,TSP_AGM
grafo-euleriano,270,36315.0,TABU_CICLOS 160 25 300,3476.92,108201,TSP_AGM
grafo-euleriano,270,36315.0,TABU_ESTRUCTURA 160 25 300,831.343,108263,TSP_AGM
grafo-euleriano,273,37128.0,TABU_CICLOS 160 25 300,3850.29,120495,TSP_AGM
grafo-euleriano,273,37128.0,TABU_ESTRUCTURA 160 25 300,848.992,120602,TSP_AGM
grafo-euleriano,276,37950.0,TABU_CICLOS 160 25 300,3574.64,56351,TSP_AGM
grafo-euleriano,276,37950.0,TABU_ESTRUCTURA 160 25 300,867.075,56418,TSP_AGM
