dataset,n,m,metodo,tiempo,costo,gap,tp
sol_optimas,52,1326.0,TABU_CICLOS 160 25 300,98.0321,7542,0.0,TSP_AGM
sol_optimas,52,1326.0,TABU_ESTRUCTURA 160 25 300,43.5833,7542,0.0,TSP_AGM
sol_optimas,198,19503.0,TABU_CICLOS 160 25 300,2042.89,16033,1.6032953105196412,TSP_AGM
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 25 300,492.5,16384,3.8276299112800984,TSP_AGM
sol_optimas,439,96141.0,TABU_CICLOS 160 25 300,13135.9,115098,7.3505134446962614,TSP_AGM
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 25 300,1740.57,115411,7.6424447615583375,TSP_AGM
sol_optimas,70,2415.0,TABU_CICLOS 160 25 300,161.72,683,1.1851851851851762,TSP_AGM
sol_optimas,70,2415.0,TABU_ESTRUCTURA 160 25 300,74.1077,687,1.7777777777777715,TSP_AGM
sol_optimas,442,97461.0,TABU_CICLOS 160 25 300,11583.0,53980,6.305880499428881,TSP_AGM
sol_optimas,442,97461.0,TABU_ESTRUCTURA 160 25 300,2251.35,54387,7.107408720311952,TSP_AGM
sol_optimas,96,4560.0,TABU_CICLOS 160 25 300,485.008,57690,4.4938325273053294,TSP_AGM
sol_optimas,96,4560.0,TABU_ESTRUCTURA 160 25 300,125.979,57891,4.857903602673488,TSP_AGM
sol_optimas,783,306153.0,TABU_CICLOS 160 25 300,57201.9,9306,5.677946854417442,TSP_AGM
sol_optimas,783,306153.0,TABU_ESTRUCTURA 160 25 300,9764.43,9318,5.814217578923461,TSP_AGM
sol_optimas,120,7140.0,TABU_CICLOS 160 25 300,729.627,7244,4.350331316623453,TSP_AGM
sol_optimas,120,7140.0,TABU_ESTRUCTURA 160 25 300,295.765,7261,4.595217516565839,TSP_AGM
sol_optimas,226,25425.0,TABU_CICLOS 160 25 300,3611.09,85357,6.206373104057533,TSP_AGM
sol_optimas,226,25425.0,TABU_ESTRUCTURA 160 25 300,668.544,85762,6.710298747029327,TSP_AGM
sol_optimas,400,79800.0,TABU_CICLOS 160 25 300,13444.0,16222,6.157973954584122,TSP_AGM
sol_optimas,400,79800.0,TABU_ESTRUCTURA 160 25 300,2068.3,16222,6.157973954584122,TSP_AGM
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,537.025,22378,5.090635859866623,TSP_AGM
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,151.004,22299,4.719639335023956,TSP_AGM
sol_optimas,535,142845.0,TABU_CICLOS 160 25 300,19362.7,214307,5.9300084029459725,TSP_AGM
sol_optimas,535,142845.0,TABU_ESTRUCTURA 160 25 300,3662.36,214307,5.9300084029459725,TSP_AGM
sol_optimas,318,50403.0,TABU_CICLOS 160 25 300,9410.47,44282,5.360584358419203,TSP_AGM
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 25 300,1261.22,44406,5.655618739441806,TSP_AGM
sol_optimas,575,165025.0,TABU_CICLOS 160 25 300,36662.7,7039,3.9273586298538277,TSP_AGM
sol_optimas,575,165025.0,TABU_ESTRUCTURA 160 25 300,2815.3,7058,4.207884246271959,TSP_AGM
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,358.826,23085,4.608482871125602,TSP_AGM
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,88.601,23114,4.73989487040059,TSP_AGM
sol_optimas,48,1128.0,TABU_CICLOS 160 25 300,63.2597,10863,2.2111403838916033,TSP_AGM
sol_optimas,48,1128.0,TABU_ESTRUCTURA 160 25 300,21.3109,10848,2.0700037636432143,TSP_AGM
sol_optimas,22,231.0,TABU_CICLOS 160 25 300,11.2711,7013,0.0,TSP_AGM
sol_optimas,22,231.0,TABU_ESTRUCTURA 160 25 300,4.3149,7013,0.0,TSP_AGM
sol_optimas,493,121278.0,TABU_CICLOS 160 25 300,16412.3,37422,6.913890634820859,TSP_AGM
sol_optimas,493,121278.0,TABU_ESTRUCTURA 160 25 300,1929.11,37422,6.913890634820859,TSP_AGM
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,362.295,8592,8.621997471554991,TSP_AGM
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,93.4209,8594,8.647281921618216,TSP_AGM
